01611234;Sophie;Vachon;FRANCE;MARSEILLE;Date du dernier don;04-août-2017;Code délégué;CN;Libellé délégué;Christelle NIMESKERN;Montant du 1er don(347P);30.49;Nombre de dons dans l'année(347P);3.0;Who's WHO;O;Mode de paiement du dernier don;CHEQUE;EMAIL;xx@gmail.com;KAVIAR;2;Cumul Montant des dons N-1(347P);300.0;Score ISF;37;Date du premier don(347P);17-juil.-1998;Code origine du dernier don;PFZZ;DEPT;13;Cumul montant des dons(347P);6706.47;Montant du dernier don;150.0;Score Legs;40;Décédé;N;Nombre de dons(347P);18.0;Situation donateur;Grand donateur;Libellé origine du dernier don;Petits anciens donateurs;CP;13000;Cumul montant des dons dans l'année(347P);5150.0;CIVILITE;MME;TEL_MOB;0600000000;TEL;0400000000;Nombre de dons N-1(347P);2.0
02860008;Villette;Méthot;FRANCE;MONTPELLIER;Situation donateur;Grand donateur;Date du dernier don;15-févr.-2017;Code délégué;CN;Libellé délégué;Christelle NIMESKERN;Montant du 1er don(347P);60.0;Nombre de dons dans l'année(347P);2.0;Libellé origine du dernier don;MAILING CANCER FID 1 MARS CL1 13-24 M;Mode de paiement du dernier don;PRELEVEMENT AUTOMATIQUE - RIB;EMAIL;xx@gmail.com;CP;34090;Cumul Montant des dons N-1(347P);1375.0;Score ISF;37;Cumul montant des dons dans l'année(347P);2500.0;Date du premier don(347P);24-déc.-2004;Code origine du dernier don;PF5M311CZ;CIVILITE;MME;DEPT;34;TEL;0400000000;Cumul montant des dons(347P);3510.0;Montant du dernier don;1500.0;Score Legs;38;Décédé;N;Nombre de dons(347P);5.0;Nombre de dons N-1(347P);2.0
00000001;Christien;Lacharité;FRANCE;AIX-EN-PROVENCE;Situation donateur;Grand donateur;Date du dernier don;16-févr.-2017;Code délégué;CN;Libellé délégué;Personne Num1;Montant du 1er don(347P);61.0;Nombre de dons dans l'année(347P);2.0;Libellé origine du dernier don;MAILING CANCER FID 1 MARS CL1 13-24 M;Mode de paiement du dernier don;PRELEVEMENT AUTOMATIQUE - RIB;EMAIL;xx@gmail.com;CP;34090;Cumul Montant des dons N-1(347P);1375.0;Score ISF;37;Cumul montant des dons dans l'année(347P);2500.0;Date du premier don(347P);25-déc.-2004;Code origine du dernier don;PF5M311CZ;CIVILITE;M;DEPT;34;TEL;0400000001;Cumul montant des dons(347P);3510.0;Montant du dernier don;1501.0;Score Legs;38;Décédé;N;Nombre de dons(347P);5.0;Nombre de dons N-1(347P);2.0
00000002;Tabor;Petit;FRANCE;ARLES;Situation donateur;Grand donateur;Date du dernier don;17-févr.-2017;Code délégué;CN;Libellé délégué;Personne Num2;Montant du 1er don(347P);62.0;Nombre de dons dans l'année(347P);2.0;Libellé origine du dernier don;MAILING CANCER FID 1 MARS CL1 13-24 M;Mode de paiement du dernier don;PRELEVEMENT AUTOMATIQUE - RIB;EMAIL;xx@gmail.com;CP;34090;Cumul Montant des dons N-1(347P);1375.0;Score ISF;37;Cumul montant des dons dans l'année(347P);2500.0;Date du premier don(347P);26-déc.-2004;Code origine du dernier don;PF5M311CZ;CIVILITE;M;DEPT;34;TEL;0400000002;Cumul montant des dons(347P);3510.0;Montant du dernier don;1502.0;Score Legs;38;Décédé;N;Nombre de dons(347P);5.0;Nombre de dons N-1(347P);2.0
00000003;Robinette;Chaussée;FRANCE;CASSIS;Situation donateur;Grand donateur;Date du dernier don;18-févr.-2017;Code délégué;CN;Libellé délégué;Personne Num3;Montant du 1er don(347P);63.0;Nombre de dons dans l'année(347P);2.0;Libellé origine du dernier don;MAILING CANCER FID 1 MARS CL1 13-24 M;Mode de paiement du dernier don;PRELEVEMENT AUTOMATIQUE - RIB;EMAIL;xx@gmail.com;CP;34090;Cumul Montant des dons N-1(347P);1375.0;Score ISF;37;Cumul montant des dons dans l'année(347P);2500.0;Date du premier don(347P);27-déc.-2004;Code origine du dernier don;PF5M311CZ;CIVILITE;MME;DEPT;34;TEL;0400000003;Cumul montant des dons(347P);3510.0;Montant du dernier don;1503.0;Score Legs;38;Décédé;N;Nombre de dons(347P);5.0;Nombre de dons N-1(347P);2.0
00000004;Laurent;Sanschagrin;FRANCE;VITROLLES;Situation donateur;Grand donateur;Date du dernier don;19-févr.-2017;Code délégué;CN;Libellé délégué;Personne Num4;Montant du 1er don(347P);64.0;Nombre de dons dans l'année(347P);2.0;Libellé origine du dernier don;MAILING CANCER FID 1 MARS CL1 13-24 M;Mode de paiement du dernier don;PRELEVEMENT AUTOMATIQUE - RIB;EMAIL;xx@gmail.com;CP;34090;Cumul Montant des dons N-1(347P);1375.0;Score ISF;37;Cumul montant des dons dans l'année(347P);2500.0;Date du premier don(347P);28-déc.-2004;Code origine du dernier don;PF5M311CZ;CIVILITE;M;DEPT;34;TEL;0400000004;Cumul montant des dons(347P);3510.0;Montant du dernier don;1504.0;Score Legs;38;Décédé;N;Nombre de dons(347P);5.0;Nombre de dons N-1(347P);2.0
00000005;Sumner;Sorel;FRANCE;MARIGNANE;Situation donateur;Grand donateur;Date du dernier don;20-févr.-2017;Code délégué;CN;Libellé délégué;Personne Num5;Montant du 1er don(347P);65.0;Nombre de dons dans l'année(347P);2.0;Libellé origine du dernier don;MAILING CANCER FID 1 MARS CL1 13-24 M;Mode de paiement du dernier don;PRELEVEMENT AUTOMATIQUE - RIB;EMAIL;xx@gmail.com;CP;34090;Cumul Montant des dons N-1(347P);1375.0;Score ISF;37;Cumul montant des dons dans l'année(347P);2500.0;Date du premier don(347P);29-déc.-2004;Code origine du dernier don;PF5M311CZ;CIVILITE;MME;DEPT;34;TEL;0400000005;Cumul montant des dons(347P);3510.0;Montant du dernier don;1505.0;Score Legs;38;Décédé;N;Nombre de dons(347P);5.0;Nombre de dons N-1(347P);2.0
00000006;Audrey;Beaudouin;FRANCE;GEMENOS;Situation donateur;Grand donateur;Date du dernier don;21-févr.-2017;Code délégué;CN;Libellé délégué;Personne Num6;Montant du 1er don(347P);66.0;Nombre de dons dans l'année(347P);2.0;Libellé origine du dernier don;MAILING CANCER FID 1 MARS CL1 13-24 M;Mode de paiement du dernier don;PRELEVEMENT AUTOMATIQUE - RIB;EMAIL;xx@gmail.com;CP;34090;Cumul Montant des dons N-1(347P);1375.0;Score ISF;37;Cumul montant des dons dans l'année(347P);2500.0;Date du premier don(347P);30-déc.-2004;Code origine du dernier don;PF5M311CZ;CIVILITE;MME;DEPT;34;TEL;0400000006;Cumul montant des dons(347P);3510.0;Montant du dernier don;1506.0;Score Legs;38;Décédé;N;Nombre de dons(347P);5.0;Nombre de dons N-1(347P);2.0
00000007;Fantina;LeBatelier;FRANCE;AUBAGNE;Situation donateur;Grand donateur;Date du dernier don;22-févr.-2017;Code délégué;CN;Libellé délégué;Personne Num7;Montant du 1er don(347P);67.0;Nombre de dons dans l'année(347P);2.0;Libellé origine du dernier don;MAILING CANCER FID 1 MARS CL1 13-24 M;Mode de paiement du dernier don;PRELEVEMENT AUTOMATIQUE - RIB;EMAIL;xx@gmail.com;CP;34090;Cumul Montant des dons N-1(347P);1375.0;Score ISF;37;Cumul montant des dons dans l'année(347P);2500.0;Date du premier don(347P);31-déc.-2004;Code origine du dernier don;PF5M311CZ;CIVILITE;MME;DEPT;34;TEL;0400000007;Cumul montant des dons(347P);3510.0;Montant du dernier don;1507.0;Score Legs;38;Décédé;N;Nombre de dons(347P);5.0;Nombre de dons N-1(347P);2.0
00000008;William;Séguin;FRANCE;LA CIOTAT;Situation donateur;Grand donateur;Date du dernier don;23-févr.-2017;Code délégué;CN;Libellé délégué;Personne Num8;Montant du 1er don(347P);68.0;Nombre de dons dans l'année(347P);2.0;Libellé origine du dernier don;MAILING CANCER FID 1 MARS CL1 13-24 M;Mode de paiement du dernier don;PRELEVEMENT AUTOMATIQUE - RIB;EMAIL;xx@gmail.com;CP;34090;Cumul Montant des dons N-1(347P);1375.0;Score ISF;37;Cumul montant des dons dans l'année(347P);2500.0;Date du premier don(347P);01-janv.-2005;Code origine du dernier don;PF5M311CZ;CIVILITE;M;DEPT;34;TEL;0400000008;Cumul montant des dons(347P);3510.0;Montant du dernier don;1508.0;Score Legs;38;Décédé;N;Nombre de dons(347P);5.0;Nombre de dons N-1(347P);2.0
00000009;Parfait;Pouchard;FRANCE;PERTUIS;Situation donateur;Grand donateur;Date du dernier don;24-févr.-2017;Code délégué;CN;Libellé délégué;Personne Num9;Montant du 1er don(347P);69.0;Nombre de dons dans l'année(347P);2.0;Libellé origine du dernier don;MAILING CANCER FID 1 MARS CL1 13-24 M;Mode de paiement du dernier don;PRELEVEMENT AUTOMATIQUE - RIB;EMAIL;xx@gmail.com;CP;34090;Cumul Montant des dons N-1(347P);1375.0;Score ISF;37;Cumul montant des dons dans l'année(347P);2500.0;Date du premier don(347P);02-janv.-2005;Code origine du dernier don;PF5M311CZ;CIVILITE;M;DEPT;34;TEL;0400000009;Cumul montant des dons(347P);3510.0;Montant du dernier don;1509.0;Score Legs;38;Décédé;N;Nombre de dons(347P);5.0;Nombre de dons N-1(347P);2.0
